,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1.0,16.29181609278228,5.134128711363244,26.65707035668734,141.06938910484314
1,1.0,7.673935297163063,5.075878933494491,26.7912621398922,147.03530406951904
2,0.0,11.549347522538746,5.938734491073938,27.011950947841147,159.94114708900452
3,2.0,17.387987529119563,5.452168299187382,28.596580246091776,158.7204270362854
4,2.0,19.030324892687553,5.813572110353798,27.535062470473544,147.58542013168335
5,1.0,15.123354324968783,5.077117614146367,28.4422297805934,150.14562487602234
6,1.0,24.51826004300511,5.13851306593266,28.494007280735897,170.03910994529724
7,0.0,3.4943672221356983,5.053153697119465,24.001811092544692,128.77623105049133
8,0.0,6.080487446953373,5.902904664042163,28.063337520639948,218.73553705215454
9,2.0,12.431505792675383,5.052961035856827,29.35957496130615,166.0374710559845
PROMEDIO,1.0,13.358138616402957,5.363913262257033,27.495288679680606,158.80856614112855
