,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,9.128351308137281,23.16341086313411,41.10747523929867,221.80396389961243
1,0.0,12.896145923063838,25.60281294613127,34.96560334692473,185.75392293930054
2,0.0,14.663749134558241,27.369223781908467,32.42650283835446,165.13698291778564
3,0.0,13.271790808466843,27.665201968247946,45.988841277254515,259.1900849342346
4,0.0,4.694295547281789,26.452948259485474,28.389599671889336,135.5274260044098
5,0.0,3.228080902892881,26.21057669389142,31.358402733514872,158.40324687957764
6,0.0,22.296092067663704,23.95321931851804,37.66409759738043,192.94297790527344
7,0.0,0.0,24.172026293190804,30.21673185302812,152.2164490222931
8,0.0,10.650176963977472,24.117554479078123,26.677494060730982,126.14061403274536
9,0.0,6.974586688483243,30.408256166658767,31.74412093804063,157.22241806983948
PROMEDIO,0.0,9.780326934452528,25.911523077024448,34.05388695564167,175.4338086605072
