,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1.0,13.24383071106726,23.3076374748689,30.86410876292625,143.98430013656616
1,2.0,15.989695300289204,25.990134023788325,27.277928995552152,126.28246784210205
2,6.0,22.988694117412745,0.3207086809223905,40.79548015290109,204.11522603034973
3,1.0,9.296677891500124,26.088587309280356,36.03696082944038,163.4195101261139
4,1.0,18.969491342295502,24.577331365061852,33.75672846434976,156.86609482765198
5,1.0,7.454029326129513,24.059563433140912,34.404561314142285,157.84170293807983
6,0.0,4.675555769114053,0.2207086794322744,29.931960071574007,131.86524200439453
7,0.0,5.7303009600201555,28.165145860661667,32.04138171910705,142.54198718070984
8,1.0,4.826191389606591,26.53056989292585,30.005556013674667,129.3881540298462
9,1.0,7.3118728488867655,26.266419565630336,27.78816341990434,121.79662203788757
PROMEDIO,1.4,11.048633965632192,20.552680628571288,32.2902829743572,147.81013071537018
