,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,3.0,15.35778146309428,5.12283933134535,26.176014261477125,129.24548482894897
1,4.0,15.851259923170623,5.051671288864856,26.96392528144059,138.3263487815857
2,1.0,6.763081829772985,5.761764644015297,26.1338583189558,129.08404898643494
3,3.0,12.873248189732093,5.0778236453236,26.895407935973207,182.19559502601624
4,0.0,5.587430170188001,5.162183273501226,24.3866045562124,121.12421107292175
5,5.0,13.859508621392512,5.054077893041541,26.72640631290454,139.03933787345886
6,1.0,5.786109815019094,5.652208342137433,26.25103421054771,126.5788300037384
7,4.0,18.086334343877848,5.0886208130331525,27.37648767400115,143.99344491958618
8,2.0,7.9405993981772305,5.969540954675747,25.984206114877264,123.29838800430298
9,4.0,16.022436394279936,5.061052516268258,27.32618294302176,135.5944540500641
PROMEDIO,2.7,11.81277901487046,5.300178270220647,26.42201276094115,136.8480143547058
