,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,23.030454770309714,23.21041411592133,29.2770054064264,130.44739389419556
1,0.0,6.416131370059558,26.928714115212305,30.450946066225338,134.87430000305176
2,0.0,14.429790745372626,25.544062696771974,28.180118466517552,122.03326106071472
3,0.0,4.907338753377936,29.044172879894806,28.555769315301628,124.41238903999329
4,0.0,0.0,24.587684935029838,27.996754483053778,172.97572898864746
5,0.0,0.0,28.083778958819465,27.326456898814822,118.71541810035706
6,0.0,0.9482381680022433,0.2207086794322744,29.572004075651108,165.16515183448792
7,2.0,12.09864468258262,26.530831955090125,27.21708547561651,118.92371010780334
8,1.0,2.7381689211302307,28.522659070565037,28.67060230965959,252.60668992996216
9,0.0,7.794535683351569,26.336646407458137,27.376396628933335,124.67788100242615
PROMEDIO,0.3,7.2363303094186495,23.900967381419527,28.462313912620004,146.48319239616393
