,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2.0,9.838635589464458,23.13439059108861,24.488354854662855,108.7035779953003
1,4.0,17.18240017506119,28.202380788047968,38.28052575192386,188.68088912963867
2,1.0,7.521879341827222,26.498481080196676,29.54693992301889,142.47202682495117
3,3.0,14.069138426370461,26.99438014788083,33.46361431613674,163.2965738773346
4,4.0,11.649425074303938,26.784589932176445,29.147890060530298,131.47678589820862
5,5.0,14.258711801925157,24.17369774297693,43.995197627244764,215.74720096588135
6,2.0,6.782266078199129,26.5481116540592,27.436902525985527,123.51884603500366
7,3.0,7.089647663106546,26.66144593204298,31.60020878646836,149.5899019241333
8,2.0,7.875417930056157,26.560091286609683,26.930658996760876,128.39292001724243
9,2.0,7.278463390316135,28.438913121301976,32.51304937850832,153.25825786590576
PROMEDIO,2.8,10.35459854706304,26.399648227638135,31.740334222124044,150.51369805335997
