,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1.0,7.82919046617518,23.293020270871,28.86398372252607,131.74046397209167
1,4.0,20.789700979608828,0.3488739854971902,31.242581760316938,162.22833800315857
2,2.0,14.667699894722253,27.14429908167779,28.24157877496058,135.47370219230652
3,4.0,18.94859942214101,25.89883836280469,28.71325171032363,154.10945796966553
4,0.0,7.8927485420336705,26.244889395528627,31.391352251112288,144.8556730747223
5,6.0,19.1869304605119,27.91733166663604,36.12976163381979,192.43854188919067
6,4.0,18.72702146356104,26.66278555109731,29.989536461267218,162.06057906150818
PROMEDIO,3.0,15.434555889821985,22.501434044873232,30.653149473475217,154.70096516609192
