,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2.0,11.212481982247322,23.1214550784783,27.661183623124746,123.95772790908813
1,0.0,6.376622311874853,26.008279547039297,30.38966185345309,141.83156299591064
2,0.0,3.0906074671420236,27.277491696783716,29.907812383432503,135.8791148662567
3,0.0,8.394805640427213,26.369478415938616,31.748445530184615,148.09470796585083
4,2.0,11.895538934552754,26.57304687291607,33.600542639233964,160.31077098846436
5,0.0,3.8939102302152087,26.509120631432914,29.82874214762717,135.96197199821472
6,0.0,1.993223256099863,26.505465492555604,30.241255078987386,136.28945994377136
7,0.0,5.198813556211947,26.209910509736563,29.608549913851633,135.33701705932617
8,2.0,9.842813463115037,27.227544059542428,33.23535693737345,164.07413792610168
9,1.0,7.529869430181276,26.495389062758676,30.00709158694538,139.0381588935852
PROMEDIO,0.7,6.9428686272067495,26.22971813671822,30.622864169421394,142.077463054657
