,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,183.4724464416504,3.0,23.54299238208024,24.259826574557014,5.118857992880249
1,171.18585014343262,6.0,30.43435269191867,27.091688590700727,5.04883845027749
2,137.3853919506073,3.0,25.973006595687092,25.194769907310018,5.790592146017529
3,221.66029000282288,2.0,11.63745623946236,26.672777830080587,5.010241590811347
4,129.136492729187,3.0,20.701992003850663,24.947672953686055,5.877406983874132
5,23.924525499343872,3.0,31.354903203475494,24.406958506077917,5.029803253453147
6,32.314879417419434,3.0,20.35442376533982,26.642860417742675,5.736744770264908
7,46.52496600151062,1.0,15.307086608362738,26.259126479658686,5.020707548248641
PROMEDIO,118.20060527324677,3.0,22.413276686272134,25.68446015747671,5.32914909197843
