,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2.0,17.888451692767195,5.018732174582043,26.176783466255007,134.75162196159363
1,5.0,21.43497799151078,5.085850153074952,25.849859047581347,141.33201599121094
2,1.0,15.4266381791456,5.05514435564833,26.828206097762433,171.8845410346985
3,3.0,16.80702378650615,5.165484665691657,27.122803136393642,145.74300003051758
4,3.0,20.109082860778596,5.064696628652231,24.959002251304852,126.96492385864258
5,4.0,21.203179608595985,5.066958085135244,27.247540761161137,154.22266101837158
6,2.0,15.83570588956774,5.188103674857277,28.082761518338682,148.25306391716003
7,1.0,18.025016299139605,5.074310598503846,25.34883403802403,128.42260909080505
8,3.0,14.15660689901114,5.08278515082044,26.16714901592096,168.4690330028534
9,6.0,32.86801620250482,5.100591156380402,25.856498242862287,143.71086311340332
PROMEDIO,3.0,19.37546994095276,5.090265664334643,26.363943757560435,146.37543330192565
