,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,4.0,27.235731598752757,5.06715416241522,29.617275258276496,201.1720039844513
1,1.0,17.88652445821866,5.036687331721355,27.66451862356313,156.43688678741455
2,2.0,20.297062493156115,5.088927440201809,27.03661569647259,159.2212619781494
3,1.0,10.857751818190394,5.042179751142411,25.231542615376956,141.10852980613708
4,0.0,18.643806192915527,5.152146862798376,25.71038635919894,138.13481783866882
5,2.0,17.277713536822784,5.641111891001247,26.33088402068344,161.62746381759644
6,1.0,18.38999047040653,5.047531086770999,25.425237812647005,162.5118350982666
7,0.0,6.899499415385431,5.3515346333560965,25.575113235795776,146.07749485969543
8,3.0,25.992364832398327,5.081893853306058,26.658759890015432,155.1491630077362
9,0.0,7.948288912169556,5.36425302929837,25.7019939873726,138.94539618492126
PROMEDIO,1.4,17.142873372841606,5.187342004201193,26.495232749940236,156.03848533630372
