,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2.0,10.143999095516874,23.02248293619832,28.137576583763146,142.09748816490173
1,5.0,27.38637399934593,26.027610329058643,48.78925523354052,245.8140890598297
2,2.0,8.950115082151036,27.636125448231848,30.3131417826683,149.7212929725647
3,2.0,7.424265176764566,30.269130551124125,27.58184777761921,133.81079196929932
4,4.0,25.1601647456446,25.47456945924996,35.45162734022283,170.75071096420288
5,1.0,9.640017398934512,25.514185017221525,33.01532741926423,158.4758460521698
6,6.0,27.964974641748764,25.187298357836013,49.19811750620685,252.16990303993225
7,6.0,20.343714064159116,24.78284041475324,48.43888235404992,256.9572241306305
8,14.0,36.29012989836355,25.619609920455673,73.89192504658332,379.1589980125427
9,3.0,23.79775392341245,26.342657202107542,33.02061871070731,164.10315608978271
PROMEDIO,4.5,19.71015080260414,25.98765096362369,40.78383197546256,205.30595004558563
