,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2.0,20.02228577007841,23.053973551171964,77.64471449057964,431.915235042572
1,0.0,5.085846973986914,24.290372821895836,33.21091843467261,163.39469194412231
2,0.0,9.242111209946009,26.842042617820283,35.63399978515782,176.10344004631042
3,0.0,1.3214677398372854,24.313948757955504,31.770779884285233,162.31148290634155
4,1.0,15.344778565654382,25.45480920518308,63.277594572575595,325.26298689842224
5,0.0,13.06363895970777,24.993957551057157,33.43597129287083,165.71789503097534
6,0.0,10.285301564899665,25.80494708053939,35.06745019381318,177.77013492584229
7,0.0,3.8504676810337672,26.665790988019918,29.060536589247523,144.29038286209106
8,0.0,4.967169757340769,25.939828884243983,27.67491383757171,133.16723012924194
9,0.0,18.102696732118687,25.725095639401413,31.231574815301105,150.95409202575684
PROMEDIO,0.3,10.128576495460367,25.308476709728854,39.80084538960752,203.0887571811676
