,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,3.0,18.257485637496377,23.264228981963647,41.20805328941324,212.00199604034424
1,0.0,6.17166811637572,24.964052760308526,31.11822360790457,162.697420835495
2,2.0,18.41638252133792,24.92021465667792,60.216955548580415,313.9597358703613
3,2.0,22.13786313087101,24.860509585300438,60.435216861982624,307.09406208992004
4,3.0,29.877479266820988,29.363957786017593,49.85760877405123,256.3626160621643
5,1.0,6.591823252328021,26.67721155207654,30.793538724335804,148.9212248325348
6,1.0,17.288471615449048,25.064287134318786,41.843801898913426,209.089026927948
7,1.0,6.93501150325967,25.57082569207114,33.912349426140736,165.07476496696472
8,1.0,17.50708414256924,24.87382918435313,39.57981479157411,212.6640660762787
9,1.0,11.498099370924834,25.112214959584737,35.14758492239937,169.5592920780182
PROMEDIO,1.5,15.468136855743285,25.467133229267247,42.41131478452955,215.74242057800294
