,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2.0,11.087605646174163,23.05397082608433,39.300097841137685,179.87953782081604
1,2.0,9.481571889321431,26.973446125727083,32.047717487653614,152.9473750591278
2,0.0,13.040975017571851,25.358018413594483,42.6057764218001,202.87358403205872
3,0.0,6.6803500764358485,24.97957033736359,33.32611685729271,150.0923981666565
4,2.0,14.031475001559349,25.377047117200508,47.48781629687415,225.36154699325562
5,4.0,18.133958900971415,24.231300414182538,43.86953407789162,196.50843691825867
6,2.0,8.572178575149167,25.080182656209594,34.73924589112339,157.83776593208313
7,1.0,22.604412033129424,24.92238900204265,35.49570605369444,161.99656701087952
8,1.0,12.667035224390137,25.21922696694727,44.265232126658546,217.4407777786255
9,1.0,9.771180169894018,24.6925648808569,29.65408947896954,134.3365490436554
PROMEDIO,1.5,12.60707425345968,24.988771674020892,38.27913325330958,177.9274538755417
