,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2,10.0031206365997,5.03246361075387,25.1731717659297,129.457798957825
1,3,17.8402434249663,5.05868823407877,24.9440270512455,127.143951892853
2,1,3.55703925064463,6.69194640508708,26.8875782897659,131.873497962952
3,2,8.95729631288807,5.08005404613252,25.0873163872703,124.315335988998
4,2,10.5883337367756,6.87727693661984,27.6371524886433,136.612431049347
5,4,14.1404561902759,5.0623095303878,26.4714444336167,137.69914484024
6,2,6.337991760171,6.59143467851332,25.3442825019955,122.150159835815
7,3,9.98780932853951,5.32412907206029,25.6271133172883,132.888839006424
8,0,0,5.04319554885111,0.00014175743917,128.593847990036
9,3,18.8376814248153,5.05468946409731,25.1665463657968,128.303116083145
PROMEDIO,2.2,10.0249972065676,5.58161875265819,23.2338774358991,129.903812360764
