,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,4.0,17.108414250754507,23.190058900857846,38.531926234933486,184.29964900016785
1,4.0,15.545412664488104,25.412030175785826,36.179515355553384,169.92753911018372
2,8.0,22.889803255078192,25.27927854140425,66.81706825953296,328.7812840938568
3,7.0,20.49143274249746,26.978355174308867,34.43272851972289,176.72716999053955
4,4.0,21.184807188283813,27.0889550257656,27.31590393628701,125.98453092575073
5,3.0,16.893226349832247,27.10730479114088,33.79078939279468,161.31045198440552
6,15.0,25.55670276708432,24.779830042690087,60.33655301516177,307.86256289482117
7,4.0,13.216970830515159,26.006791887734853,36.411770180038516,177.72244811058044
8,16.0,20.61321319526092,27.195788955392334,107.00616416808832,571.7070519924164
9,3.0,11.816073859060795,24.797172998886985,29.453722737855756,138.30643320083618
PROMEDIO,6.8,18.531605710285554,25.783556649396758,47.027614179996874,234.26291213035583
