,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,0.0,23.163510720579957,23.15879720295115,96.62561702728271
1,0.0,0.0,22.95621444569954,23.737831593952027,102.00892496109009
2,0.0,0.0,22.980256893976787,23.495134585026314,101.22814202308655
3,0.0,0.0,22.90538987903897,23.841849782150362,102.10302400588989
4,0.0,0.0,22.975516647963804,23.590491765448757,100.11587190628052
5,0.0,0.0,22.90538987903897,23.84582894905227,101.73444986343384
6,0.0,0.0,22.980256893976787,23.375380475342048,99.87837290763855
7,0.0,0.0,22.90538987903897,23.886708061127177,101.8498649597168
8,0.0,0.0,22.980256893976787,23.504634422712556,98.7642548084259
9,0.0,0.0,22.90538987903897,23.97199526279902,101.57597184181213
PROMEDIO,0.0,0.0,22.965757201232954,23.64086521005617,100.5884494304657
