,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,4.547202584198359,5.1200228627360405,25.60998335723509,126.26121592521667
1,1.0,15.429654483913545,5.025927851223734,26.55859220270678,132.21016812324524
2,1.0,4.9738217490304795,5.916380016275639,28.72773175740553,138.06268787384033
3,2.0,9.998001665843441,5.055367761803834,26.95759108033584,144.32291889190674
4,1.0,5.514613113631815,5.162919932627657,29.865341458364977,198.12773299217224
5,2.0,16.164519440800643,5.052933579622171,26.48216546618932,163.27352809906006
6,1.0,4.885845641251997,5.8681740379057565,23.5312829394476,115.97998595237732
7,1.0,15.832425461480284,5.284217174075728,29.111927504112252,142.10076689720154
8,1.0,12.739524314836565,5.91802536676047,27.884329185998048,143.1259491443634
9,1.0,6.151876738726123,5.036770377724169,25.204592502901573,276.7218129634857
PROMEDIO,1.1,9.623748519371324,5.344073896075519,26.993353745469705,158.01867668628694
