,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,8.745378290537172,23.139618395266023,32.14653140343626,154.07228112220764
1,0.0,3.1344522847792224,26.45727383380054,30.752839619054274,143.9335970878601
2,1.0,5.454312178668068,29.02836343987094,32.33846227619985,142.27803587913513
3,0.0,4.971982440792329,23.944950830245745,34.77138275830637,157.92896699905396
4,1.0,6.080564123693317,24.44779923044964,28.88311178055146,138.77381801605225
5,1.0,15.582391192129506,25.850987430919865,40.20772885332749,194.10169291496277
6,1.0,8.35774312924815,25.240245952201196,35.19551170178551,171.01873803138733
7,0.0,6.398087346215741,27.53645545086186,30.132586245087243,135.44307494163513
8,1.0,6.839603583367247,24.376487610400435,29.67167352712355,143.74771690368652
9,0.0,7.317382795899911,26.509261401398795,29.634282955378794,144.18591499328613
PROMEDIO,0.5,7.288189736533066,25.653144357541503,32.37341111202509,152.5483836889267
