,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1.0,16.302933517380623,23.378158332456795,32.44175907376517,160.29218888282776
1,0.0,0.638611973002917,28.92340758564802,28.704994654180783,132.07689905166626
2,1.0,18.14154700557641,27.05654864282733,35.444488818901355,171.82100200653076
3,2.0,17.734822613584978,27.56674158894,32.40539436275199,155.87873482704163
4,1.0,8.046553308815392,27.767414622983573,28.62936480482535,142.71865892410278
5,0.0,2.0121632005384167,28.87588459475079,27.589998056910684,131.46124505996704
6,0.0,4.8586013624320525,27.49507643761971,29.415274814940343,141.6945469379425
7,0.0,18.203497754814236,29.277748834360793,36.06246032111302,172.06806206703186
8,1.0,13.129373628283025,26.84584764925826,31.3993745090414,153.96640396118164
9,0.0,3.3403354211871448,29.11859094565797,29.441014574833318,139.73734402656555
PROMEDIO,0.6,10.240843978561518,27.630541923450323,31.153412399126342,150.17150857448578
