,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,12.249924018577074,23.264590658448014,35.05853271981153,168.12070298194885
1,0.0,7.6485289272532215,26.68708439818376,33.92071214957077,157.4982750415802
2,1.0,14.950719196221595,26.68295439036575,34.011303354051364,174.79974389076233
3,2.0,9.638606426101203,27.258775559967532,33.06619768847799,151.86964201927185
4,0.0,15.14948639525008,27.112284454378724,29.191416826486265,143.42587804794312
5,0.0,20.143926286955466,27.977319724267876,35.88832038997225,194.19024181365967
6,0.0,0.0,28.75647929748891,29.66844874784655,136.2001190185547
7,0.0,11.886739996436653,25.947789956606176,33.676142173128895,171.65400385856628
8,1.0,5.190223286280093,27.994614327199802,29.527845562403435,143.61597895622253
9,0.0,14.04462952750286,26.080523358422738,29.713091247448798,135.8626229763031
PROMEDIO,0.4,11.090278406057823,26.77624161253293,32.37220108591979,157.72372086048125
