,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,3.0,17.17278088059647,23.126293541012952,32.94341673832022,164.27754092216492
1,3.0,14.415647853358493,28.66152108541866,37.07809485627227,189.32784700393677
2,2.0,16.971497905766007,29.220613841254476,34.134645342785866,166.3727560043335
3,2.0,12.852822006137291,28.39610501990847,30.183307118314104,146.46186208724976
4,4.0,20.253661966170903,27.09913024993599,33.51433207481527,161.30661702156067
5,2.0,11.282574951269376,31.050990734507494,31.12604324088681,146.63178992271423
6,2.0,13.952008475689443,26.632892803317294,35.045388486757155,172.68123602867126
7,2.0,13.34636375877752,27.75922793778714,32.55634009346272,163.288645029068
8,2.0,13.731128067281045,26.870226769065304,35.405138240072986,171.92337608337402
9,1.0,11.913037473259193,30.165998985635994,32.314545601710755,158.57165813446045
PROMEDIO,2.3,14.589152333830572,27.89830009678438,33.43012517933981,164.08433282375336
