,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,6.0,21.216461466488845,5.135189625647547,26.258546624689103,151.65709018707275
1,5.0,21.287090464212884,5.104154198066209,26.9826621072146,150.61028599739075
2,4.0,14.853600743228606,5.883996366608722,26.905837439382744,141.1796839237213
3,7.0,23.37170485750794,5.056652842411648,26.748091585223708,155.4837682247162
4,4.0,14.058769557886777,5.842092107561029,27.39761500105636,134.73417210578918
5,5.0,22.11466937535173,5.045144357633956,26.612970490270413,147.99619817733765
6,7.0,27.49802805779007,5.71825900573186,27.2228766380966,142.22441697120667
7,6.0,19.364466520891987,5.020648800082553,26.711148550285387,148.5037660598755
8,8.0,24.68936988945195,5.177877202153272,26.421075507943975,167.14222121238708
9,6.0,22.787961877411874,5.042686270716134,25.117240765070484,138.47531700134277
PROMEDIO,5.8,21.124212281022267,5.3026700776612925,26.63780647092334,147.800691986084
