,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,3.0,10.861239352492325,23.119696458186173,39.2085964613143,196.32706212997437
1,1.0,13.980007059338057,26.015710922776385,40.70419250091937,208.2285099029541
2,5.0,22.27508224069702,24.463343625937352,39.40208733316068,201.08200097084045
3,1.0,18.762132754439957,28.367675854299424,38.32213696722699,197.2842891216278
4,1.0,11.581802366048784,28.527865621568175,35.11320641547022,173.36167907714844
5,2.0,15.873742674143879,25.56112385740515,33.35661058337738,169.30419206619263
6,2.0,22.698640655299005,30.02876805609032,38.411413893390986,190.9499011039734
7,1.0,13.751009815784165,26.136013808880914,40.37532601999453,205.05318212509155
8,0.0,8.218582065212335,26.71605517532921,34.854393684180714,164.43223905563354
9,2.0,17.344522911381322,28.701333275341863,35.1378844240365,168.059063911438
PROMEDIO,1.8,15.534676189483685,26.7637586655815,37.48858482830717,187.40821194648743
