,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1.0,24.8276468089068,5.135758124673139,26.95428023904006,153.41090393066406
1,1.0,13.813934377378985,5.048388574048224,25.4288214690408,132.4395661354065
2,0.0,14.368446833162638,5.86127219132188,27.92357239277615,147.33732986450195
3,4.0,27.90146839417234,5.081764941808452,24.050117134053878,123.16544198989868
4,3.0,19.53571470144474,5.989400547222477,28.38326850580655,145.03232884407043
5,3.0,25.486114454356663,5.04028435625641,27.462714229501458,168.62673997879028
6,2.0,21.563036615570223,5.58466603215053,26.552360109010184,149.4878270626068
7,7.0,38.08461770599682,6.729846134787476,24.835885757435122,151.5300750732422
8,0.0,6.667566365073055,5.964881220652983,26.823081742293795,169.89219880104065
9,5.0,23.82566358779289,5.074348143663229,24.808193311693742,143.20744609832764
PROMEDIO,2.6,21.607420984385517,5.551061026658481,26.322229489065172,148.4129857778549
