,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,6.0,26.87919993743995,23.289177647281793,38.58763406301576,231.3329038619995
1,2.0,10.630069941536979,25.85233539255437,31.09554041110019,148.69646382331848
2,4.0,13.293315439106342,24.32138798181492,35.8726836653648,198.63290691375732
3,6.0,18.80568507695406,0.25374928385240464,36.058676233905764,167.32127785682678
4,2.0,7.832930984174327,0.12070867794215827,37.92816490320116,332.48237109184265
5,3.0,12.677930683775005,25.90351340500643,32.042769672602624,152.90773701667786
6,4.0,10.957581291404798,26.309371295908043,36.67188091077786,283.9365749359131
7,4.0,20.18258461653573,24.175021507674725,33.70652130049183,167.12333297729492
8,7.0,29.515409580772335,27.612471278747982,34.386110166703766,170.58786606788635
9,1.0,16.453657354659896,25.15502621028694,33.237792045165484,162.62508702278137
PROMEDIO,3.9,16.72283649063594,20.299276268106976,34.95877733723292,201.56465215682982
