,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,0.0,23.344505784566522,24.96118126108831,104.5015218257904
1,0.0,0.0,24.873277980340873,25.088187209344806,107.15314197540283
2,0.0,0.0,24.97662585362463,25.322536274375789,106.30175304412842
3,0.0,0.0,24.74666213402885,25.061618724674986,105.9662230014801
4,0.0,0.0,25.03797266086662,25.374778721985567,105.3749418258667
5,0.0,0.0,24.836937095831704,24.92595901897148,102.93225002288818
6,0.0,0.0,25.05359935154201,25.384315415596625,104.39327812194824
7,0.0,0.0,24.881981431312514,24.922083808533582,102.97438216209412
8,0.0,0.0,25.018147941334984,25.234862764563957,104.31905102729797
9,0.0,0.0,24.867327174013955,25.111524419293765,104.58683514595032
PROMEDIO,0.0,0.0,24.763703740746262,25.13870476055308,104.85033781528473
